user_id,user_followers_count,user_friends_count,lat_final,lng_final,user_event_attitude,sentiment_trend,topic,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,tone_of_voice,text_average_count,panic_user
240300381,2017,784,35.52775556,-94.03849462,"neutral, indifferent, unaware","[-1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, -1, -1, -1]","Society and News, Energy and Environment, Technology and Innovation, Economy and Business, Politics and Elections, Others, Sports and Entertainment",0.508727932,0.531466925,0.468329689,0.340176878,0.50374943,"casual, humorous, restless",2.8,0
32281200,17,1,30.3370193,-81.6613021,"neutral, uninvolved, indifferent","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Natural Disasters and Weather, Others",0.577220308,0.563794144,0.467251634,0.295208905,0.528950904,"informative, consistent, neutral.",7.666666667,0
171918909,1566,36,38.5665924,-121.4686318,"unaware, indifferent, unrelated","[0, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0]","Natural Disasters and Weather, Economy and Business, Energy and Environment, Politics and Elections",0.561474917,0.553283666,0.422344655,0.272355636,0.556268577,"informative, neutral, consistent",3,0
267721016,6788,6649,39.90916667,-86.28694444,"unconcerned, indifferent, unaware","[1, 1, -1, 1, 1, 0, 0, 0, 1, 1, 0, -1, 0, 0]","Society and News, Energy and Environment, Technology and Innovation, Economy and Business, Others, Sports and Entertainment",0.485436695,0.531964191,0.444859858,0.300863094,0.492125811,"motivational, professional, informative",3.5,0
181434561,181,227,39.90916667,-86.28694444,"neutral, uninformed, indifferent","[0, 0, 1, 1, 0, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1]","Natural Disasters and Weather, Energy and Environment, Technology and Innovation, Economy and Business, Others, Sports and Entertainment",0.496080171,0.535700875,0.446243886,0.310290103,0.495821267,"impulsive, candid, erratic.",2.833333333,1
139936116,8994,8857,38.8183429,-77.0820263,"indifferent, distracted, neutral","[0, 0, -1, 1, 0, 0, -1, 0, -1, 0, -1, 1, 0, -1, 0, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, 0, 1, 0, -1, 1, -1, 1, 1, -1, 0, -1]","Natural Disasters and Weather, Society and News, Energy and Environment, Technology and Innovation, Economy and Business, Politics and Elections, Sports and Entertainment",0.530852576,0.531194829,0.451855447,0.311524271,0.522447091,"informative, analytical, varied",5.285714286,0
16099922,5304,1485,39.4744867,-119.7765384,"unconcerned, indifferent, unaware","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Technology and Innovation, Natural Disasters and Weather, Others",0.52327469,0.52392466,0.479929786,0.33782717,0.499612827,"informative, consistent, professional",1.571428571,1
579252405,7,0,38.78692758,-94.54983431,"neutral, detached, observational","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","Natural Disasters and Weather, Society and News, Energy and Environment, Politics and Elections, Economy and Business, Others, Sports and Entertainment",0.53034037,0.529221222,0.46413745,0.32300513,0.514095001,"informative, regional, weather-focused",3.571428571,1
108184667,1028,1249,40.19805556,-74.66444444,"neutral, informative, detached","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1]","Society and News, Energy and Environment, Technology and Innovation, Economy and Business, Politics and Elections, Others, Sports and Entertainment",0.533095879,0.531290892,0.463839354,0.318702064,0.529502393,"informative, enthusiastic, technical",4.666666667,0
85230067,423,199,51.5,-0.1166667,"unclear, unrelated, indifferent","[1, 0, 0, 0, -1, 1, -1, -1, 0, 1, -1, -1, -1, -1]","Society and News, Energy and Environment, Technology and Innovation, Politics and Elections, Economy and Business",0.511432209,0.529623726,0.458109287,0.317285312,0.508500561,"passionate, critical, sarcastic",2.333333333,0
